Dataset_ID,Source_ID,Filename,Acquired,Format,Machine_Readable,Validated_Totals_Match,PDF_Extraction_Required,Join_Ready,Analysis_Ready_Status,Blocking_Issues,Notes
DS-MORTH-2024-CSV-02,SRC-MORTH-AR-2024,02_road_accidents_annual_2020_2024.csv,YES,CSV,YES,YES,NO,SAFE,READY,—,VERIFIED: figures match 2018-2022 historical CSV for overlapping years
DS-MORTH-2024-CSV-03,SRC-MORTH-AR-2024,03_road_accidents_2024_type_of_collision.csv,YES,CSV,YES,PARTIAL,NO,CONDITIONAL,READY,—,9 categories: Hit&Run / Parked / Hit-Back / Hit-Side / Run-off / Fixed-object / Overturn / Head-on / Others
DS-MORTH-2024-CSV-04,SRC-MORTH-AR-2024,04_road_accidents_2024_type_of_violation.csv,YES,CSV,YES,PARTIAL,NO,CONDITIONAL,READY,—,"6 cause categories per MoRTH 2024 taxonomy: Over-speeding / Drunken-driving / Wrong-side+Lane-indiscipline / Red-light / Mobile / Others. All-India total row: 4,80,583 → 4,87,707 accidents"
DS-MORTH-2024-CSV-05,SRC-MORTH-AR-2024,05_road_accidents_2024_type_of_license.csv,YES,CSV,YES,PARTIAL,NO,CONDITIONAL,READY,—,"4 categories: Valid DL / Learner / Without valid DL / Not known. Total accident counts match: 3,72,181 (2020) → 4,87,707 (2024)"
DS-MORTH-2024-CSV-06,SRC-MORTH-AR-2024,06_road_accidents_2024_safety_device.csv,YES,CSV,YES,PARTIAL,NO,CONDITIONAL,READY,—,"Reports persons killed/injured specifically because helmet OR seatbelt was NOT used. Driver no-helmet-killed = 39,470; passenger no-helmet-killed = 14,652; driver no-seatbelt-killed = 7,489; passenger"
DS-MORTH-2024-CSV-07,SRC-MORTH-AR-2024,07_road_accidents_2024_fatality_road_user.csv,YES,CSV,YES,PARTIAL,NO,CONDITIONAL,READY,—,"9 categories: Pedestrian / Bicycles / Two-wheelers / Auto-Rickshaws / Cars+Taxis+Vans+LMVs / Trucks-Lorries / Buses / Other-NMT / Others. Total killed 2024 = 1,77,175"
DS-MORTH-2024-CSV-08,SRC-MORTH-AR-2024,08_road_accidents_2024_victims_crime_vehicle.csv,YES,CSV,YES,PARTIAL,NO,CONDITIONAL,READY,—,"9×9 victim×crime-vehicle matrix. Total = 1,77,175 (matches killed). India level only"
DS-MORTH-2024-CSV-09,SRC-MORTH-AR-2024,09_road_accidents_2024_states_road_accidents.csv,YES,CSV,YES,YES,NO,SAFE,READY,—,"VERIFIED: sum of 36 states for 2024 = 4,87,707 — EXACTLY matches published All-India total"
DS-MORTH-2024-CSV-10,SRC-MORTH-AR-2024,10_road_accidents_2024_states_fatalities.csv,YES,CSV,YES,YES,NO,SAFE,READY,—,"VERIFIED: sum of 36 states for 2024 = 1,77,175 — EXACTLY matches published All-India killed total"
DS-MORTH-2024-CSV-11,SRC-MORTH-AR-2024,11_road_accidents_2024_cities_accidents_fatalities.csv,YES,CSV,YES,YES,NO,SAFE,READY,—,"VERIFIED: sum of 50 cities accidents 2024 = 82,127 — EXACTLY matches published total. Killed sum = 17,186 (matches). Top: Delhi 5,657 accidents / 1,551 killed; Bengaluru 4,769 / 894"
