Dataset_ID,Filename,Local_Path,Source_ID,Acquired,Acquisition_Date,Rows,Columns,Variables,Missing_Values,Duplicates,Units,Categories,Years_Covered,Geography_Coverage,Granularity,File_Size_Bytes,Format,Cleaning_Required,Notes
DS-MORTH-2024-CSV-02,02_road_accidents_annual_2020_2024.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/02_road_accidents_annual_2020_2024.csv,SRC-MORTH-AR-2024,YES,2026-09-22,5,7,"Year, Accidents, % Change Accidents, Fatalities, % Change Fatalities, Persons Injured, % Change Injured",0,0,counts (Indian comma format) + % change,years 2020-2024,2020-2024,India total,annual national aggregate,394,CSV,parse Indian comma-style integers; strip BOM,VERIFIED: figures match 2018-2022 historical CSV for overlapping years
DS-MORTH-2024-CSV-03,03_road_accidents_2024_type_of_collision.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/03_road_accidents_2024_type_of_collision.csv,SRC-MORTH-AR-2024,YES,2026-09-22,20,10,"Type of collision, 2023/2024 Accidents/Killed/Injured, % Change Accidents/Killed/Injured",0 (interspersed '% share' rows; not data missing),0,counts + %,9 collision types,"2023, 2024",India,aggregate,1333,CSV,separate data rows from '% share' rows,9 categories: Hit&Run / Parked / Hit-Back / Hit-Side / Run-off / Fixed-object / Overturn / Head-on / Others
DS-MORTH-2024-CSV-04,04_road_accidents_2024_type_of_violation.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/04_road_accidents_2024_type_of_violation.csv,SRC-MORTH-AR-2024,YES,2026-09-22,15,10,"Category, 2023/2024 Accidents/Killed/Injured, % Change",0,0,counts + %,6 cause categories,"2023, 2024",India,aggregate,1124,CSV,separate '% share of total' rows,"6 cause categories per MoRTH 2024 taxonomy: Over-speeding / Drunken-driving / Wrong-side+Lane-indiscipline / Red-light / Mobile / Others. All-India total row: 4,80,583 → 4,87,707 accidents"
DS-MORTH-2024-CSV-05,05_road_accidents_2024_type_of_license.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/05_road_accidents_2024_type_of_license.csv,SRC-MORTH-AR-2024,YES,2026-09-22,10,7,"Type of licence, 2020-2024 totals, % Change 2023→2024",0,0,counts + %,4 licence categories,2020-2024,India,aggregate,620,CSV,separate '% share in total' rows,"4 categories: Valid DL / Learner / Without valid DL / Not known. Total accident counts match: 3,72,181 (2020) → 4,87,707 (2024)"
DS-MORTH-2024-CSV-06,06_road_accidents_2024_safety_device.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/06_road_accidents_2024_safety_device.csv,SRC-MORTH-AR-2024,YES,2026-09-22,6,5,"Category, No-Helmet-Killed, No-Helmet-Injured, No-SeatBelt-Killed, No-SeatBelt-Injured",0,0,counts,Driver vs Passenger (×2 equipment),2024,India,aggregate,308,CSV,separate '% Share in Total' rows,"Reports persons killed/injured specifically because helmet OR seatbelt was NOT used. Driver no-helmet-killed = 39,470; passenger no-helmet-killed = 14,652; driver no-seatbelt-killed = 7,489; passenger no-seatbelt-killed = 6,977"
DS-MORTH-2024-CSV-07,07_road_accidents_2024_fatality_road_user.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/07_road_accidents_2024_fatality_road_user.csv,SRC-MORTH-AR-2024,YES,2026-09-22,20,4,"Road-user category, Persons killed 2023, Persons killed 2024, % Change",0,0,counts + %,9 road-user categories,"2023, 2024",India,aggregate,802,CSV,separate 'share in Total' rows,"9 categories: Pedestrian / Bicycles / Two-wheelers / Auto-Rickshaws / Cars+Taxis+Vans+LMVs / Trucks-Lorries / Buses / Other-NMT / Others. Total killed 2024 = 1,77,175"
DS-MORTH-2024-CSV-08,08_road_accidents_2024_victims_crime_vehicle.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/08_road_accidents_2024_victims_crime_vehicle.csv,SRC-MORTH-AR-2024,YES,2026-09-22,20,11,Victim×Crime vehicle matrix (8×8 + Total) for 2024,0,0,counts + %,9 victim × 9 crime-vehicle classes,2024,India,aggregate,1608,CSV,matrix layout — needs pivot for tidy form,"9×9 victim×crime-vehicle matrix. Total = 1,77,175 (matches killed). India level only"
DS-MORTH-2024-CSV-09,09_road_accidents_2024_states_road_accidents.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/09_road_accidents_2024_states_road_accidents.csv,SRC-MORTH-AR-2024,YES,2026-09-22,37,14,"Sl No, State, 2020-2024 accidents, Change, % Change, 2020-2024 rankings",Ladakh 'NA' for 2020 (UT not formed until Oct 2019),0,counts + %,36 states/UTs,2020-2024,India + 36 states/UTs,state × year aggregate,2973,CSV,parse 'J & K #' footnote (includes Ladakh for 2019-2020); strip BOM; remove 'Total' row,"VERIFIED: sum of 36 states for 2024 = 4,87,707 — EXACTLY matches published All-India total"
DS-MORTH-2024-CSV-10,10_road_accidents_2024_states_fatalities.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/10_road_accidents_2024_states_fatalities.csv,SRC-MORTH-AR-2024,YES,2026-09-22,37,11,"Sl No, State, 2020-2024 killed, % Change, rankings",Ladakh 'NA' for 2020,0,counts + %,36 states/UTs,2020-2024,India + 36 states/UTs,state × year aggregate,2634,CSV,same as DS-09,"VERIFIED: sum of 36 states for 2024 = 1,77,175 — EXACTLY matches published All-India killed total"
DS-MORTH-2024-CSV-11,11_road_accidents_2024_cities_accidents_fatalities.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/11_road_accidents_2024_cities_accidents_fatalities.csv,SRC-MORTH-AR-2024,YES,2026-09-22,51,14,"Sl No, City, 2023/2024 Accidents/Killed/Injured + rankings",0,0,counts,50 million-plus cities,"2023, 2024",50 cities,city × year aggregate,3409,CSV,strip BOM; separate 'Total' row,"VERIFIED: sum of 50 cities accidents 2024 = 82,127 — EXACTLY matches published total. Killed sum = 17,186 (matches). Top: Delhi 5,657 accidents / 1,551 killed; Bengaluru 4,769 / 894"
DS-MORTH-2024-CSV-12,12_road_accidents_2024_cities_fatalities_mode.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/12_road_accidents_2024_cities_fatalities_mode.csv,SRC-MORTH-AR-2024,YES,2026-09-22,51,11,"Sl No, City, 9 road-user-mode fatalities, Total",0,0,counts,50 cities × 9 road-user modes,2024,50 cities,city × mode aggregate,2034,CSV,strip BOM; separate Total row,"Total killed across 50 cities = 17,187 (matches within rounding)"
DS-MORTH-2024-CSV-13,13_road_accidents_2024_cities_fatalities_traffic_violation.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/13_road_accidents_2024_cities_fatalities_traffic_violation.csv,SRC-MORTH-AR-2024,YES,2026-09-22,51,9,"City, 6 violation categories (over-speeding / drunk / wrong-side / red-light / mobile / others), Total",0,0,counts,50 cities × 6 violations,2024,50 cities,city × violation aggregate,1670,CSV,strip BOM; some rows lack Sl No,"Total killed across 50 cities by violation = 17,187 (matches)"
DS-MORTH-2024-CSV-14,14_road_accidents_registrations_density_2014_24.csv,/home/z/my-project/ROAD_ACCIDENT_RESEARCH/01_RAW_DATA/opencity_morth_2024/14_road_accidents_registrations_density_2014_24.csv,SRC-MORTH-AR-2024,YES,2026-09-22,14,8,"Year, Accidents(thousands), Deaths(thousands), Injured(thousands), Registered Vehicles(thousands), Road Length(thousand km), Death rate per 10,000 vehicles, Vehicle density (vehicles/km)",Registered vehicles + road length NA for 2023-2024,0,thousands + rates,years 2014-2024,2014-2024,India total,annual national aggregate,792,CSV,parse '(P)' Provisional annotation; parse 'NA',2024: 488 thousand accidents / 177 thousand deaths / 471 thousand injured. Vehicle density rose 35.3 (2014) → 53.7 (2022) vehicles/km. Provisional road length for 2021-2022
