Parameter_ID,Parameter,Group,Original_Verification,Original_Availability,Audit_Corrected_Verification,Audit_Corrected_Availability,Supporting_Dataset_Acquired,Supporting_Dataset_Machine_Readable,Audit_Notes,Final_Status_for_Analysis
A-01,Accident ID / Case ID,A-AccidentIdentification,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,"PARTIALLY VERIFIED (eDAR exists, access RESTRICTED)","AVAILABLE — SELECTED LOCATIONS (restricted portal, NOT usable)",NO_SOURCE_MATCH,NO,eDAR/iRAD portal access restricted to police/highway authorities; not public-downloadable,REVIEW_NEEDED
A-02,FIR number,A-AccidentIdentification,NOT VERIFIED,NOT AVAILABLE,NOT VERIFIED (PII; only academic MoU access),REQUIRES FUTURE DATA ACQUISITION,NO_SOURCE_MATCH,NO,FIR numbers are PII under Indian Evidence Act; not released at scale. IIT-Delhi TRIPC Status Report 2023/24 used FIR data from 6 states under research MoU,REQUIRES_FUTURE_ACQUISITION
A-03,Accident date,A-AccidentIdentification,VERIFIED (PDF only),AVAILABLE — STATE LEVEL,VERIFIED (PDF only),AVAILABLE — STATE LEVEL,YES,NO/PDF,"NCRB publishes month-wise counts by state, NOT individual dates. Per-accident date not available",REVIEW_NEEDED
A-04,Accident time (hour-of-day),A-AccidentIdentification,VERIFIED,AVAILABLE — INDIA LEVEL  (MoRTH)  +  STATE LEVEL  (NCRB),PARTIALLY VERIFIED (PDF chart not yet extracted),"AVAILABLE — INDIA LEVEL + STATE LEVEL (PDF only, not yet extracted)",YES,NO/PDF,"Bucketed, not exact hour. MoRTH publishes India-level chart; NCRB publishes state×time-bucket table as PDF only",REQUIRES_PDF_EXTRACTION
A-05,Reporting date,A-AccidentIdentification,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,No public dataset publishes accident reporting-date distinct from accident-date,REVIEW_NEEDED
A-06,Accident location (address / road segment / km marker),A-AccidentIdentification,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,NO_SOURCE_MATCH,NO,"13,795 NH blackspots published with NH+km marker; lat/lon NOT public. State-PWD blackspots not centralised",REVIEW_NEEDED
A-07,State,A-AccidentIdentification,VERIFIED,AVAILABLE — STATE LEVEL,VERIFIED,AVAILABLE — STATE LEVEL,YES,YES,State list includes J&K#+Ladakh+DN&H-Daman-Diu as separate UTs since 2019/2020; pre-2020 data uses old names,READY_FOR_ANALYSIS
A-08,District,A-AccidentIdentification,PARTIALLY VERIFIED,"AVAILABLE — DISTRICT LEVEL  (Tamil Nadu, Karnataka)  +  AVAILABLE — CITY LEVEL  (50 cities all-India)",PARTIALLY VERIFIED,"AVAILABLE — DISTRICT LEVEL  (Tamil Nadu, Karnataka)  +  AVAILABLE — CITY LEVEL  (50 cities all-India)",YES,NO/PDF,District-level accident data NOT published by MoRTH for all India. Only Tamil Nadu Police and Karnataka State Police publish district-level. Other states publish only state totals,REQUIRES_PDF_EXTRACTION
A-09,City (Million-Plus),A-AccidentIdentification,VERIFIED,AVAILABLE — CITY LEVEL,VERIFIED,AVAILABLE — CITY LEVEL,YES,YES,50 cities only; not all Indian cities. Cities do not match district boundaries (e.g. Delhi is both state & city),READY_FOR_ANALYSIS
A-10,Police jurisdiction / Police station,A-AccidentIdentification,VERIFIED,AVAILABLE — SELECTED LOCATIONS  (Bengaluru only),VERIFIED,AVAILABLE — SELECTED LOCATIONS  (Bengaluru only),YES,YES,Only Bengaluru publishes station-wise data publicly. No all-India station-wise dataset,READY_FOR_ANALYSIS
A-11,Latitude / Longitude / Geocoded coordinates,A-AccidentIdentification,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT FOUND AFTER DEEP RESEARCH (coordinates never released publicly),NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,No public Indian accident dataset publishes per-accident lat/lon. Blackspot coordinates are not released even though the list exists. eDAR-iRAD contains coordinates but access is restricted,NOT_AVAILABLE
B-01,India total,B-Geography,VERIFIED,AVAILABLE — INDIA LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL,YES,YES,—,READY_FOR_ANALYSIS
B-02,State / Union Territory,B-Geography,VERIFIED,AVAILABLE — STATE LEVEL,VERIFIED,AVAILABLE — STATE LEVEL,YES,YES,J&K#+Ladakh separated since 2019; D&N H + Daman & Diu merged since 2020 — see GEOGRAPHY_CROSSWALK.csv,READY_FOR_ANALYSIS
B-03,Zone (North/South/East/West/Central/NE),B-Geography,—,DERIVABLE,—,DERIVABLE,NO_SOURCE_MATCH,NO,Zone classification is not officially published; derived from state-list grouping per MoRTH convention,REVIEW_NEEDED
B-04,Rural / Urban,B-Geography,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,"MoRTH does not publish rural-vs-urban accident split. NCRB publishes 'place of occurrence' but at coarse city/town/rural buckets, only in PDF table 1A.11",REVIEW_NEEDED
B-05,Administrative boundary (vector),B-Geography,PARTIALLY VERIFIED,"AVAILABLE — SELECTED LOCATIONS  (via Bhuvan portal, registration required)",PARTIALLY VERIFIED,"AVAILABLE — SELECTED LOCATIONS  (via Bhuvan portal, registration required)",NO_SOURCE_MATCH,NO,Bhuvan registration needed; Census 2011 vs current district boundaries mismatch for some recently-created districts,REVIEW_NEEDED
C-01,Total Accidents,C-AccidentSeverity,VERIFIED,AVAILABLE — INDIA LEVEL  +  STATE LEVEL  +  CITY LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL  +  STATE LEVEL  +  CITY LEVEL,YES,YES,—,READY_FOR_ANALYSIS
C-02,Fatal accidents,C-AccidentSeverity,VERIFIED,AVAILABLE — INDIA LEVEL  +  STATE LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL  +  STATE LEVEL,YES,YES,MoRTH publishes 'fatal accidents' separately from 'persons killed' because a fatal accident may kill >1 person,READY_FOR_ANALYSIS
C-03,Non-fatal accidents,C-AccidentSeverity,PARTIALLY VERIFIED (PDF only),AVAILABLE — INDIA LEVEL  +  STATE LEVEL,PARTIALLY VERIFIED (PDF only),AVAILABLE — INDIA LEVEL  +  STATE LEVEL,YES,YES,MoRTH publishes grievous vs minor INJURED counts but non-fatal ACCIDENTS must be derived as Total – Fatal,REVIEW_NEEDED
C-04,Persons Killed,C-AccidentSeverity,VERIFIED,AVAILABLE — INDIA LEVEL  +  STATE LEVEL  +  CITY LEVEL  +  by road user  +  by vehicle,VERIFIED,AVAILABLE — INDIA LEVEL  +  STATE LEVEL  +  CITY LEVEL  +  by road user  +  by vehicle,YES,YES,—,READY_FOR_ANALYSIS
C-05,Persons Injured,C-AccidentSeverity,VERIFIED (India + state) / PARTIALLY VERIFIED (state-level injury is published but grievous-vs-minor split is at India level only),AVAILABLE — INDIA LEVEL  +  STATE LEVEL  +  CITY LEVEL,VERIFIED (India + state) / PARTIALLY VERIFIED (state-level injury is published but grievous-vs-minor split is at India level only),AVAILABLE — INDIA LEVEL  +  STATE LEVEL  +  CITY LEVEL,YES,YES,MoRTH publishes Grievous-Injured and Minor-Injured counts at India level (PDF table 8); state-level injury is total only,READY_FOR_ANALYSIS
C-06,Grievous Injured,C-AccidentSeverity,PARTIALLY VERIFIED (PDF only),AVAILABLE — INDIA LEVEL,PARTIALLY VERIFIED (PDF only),AVAILABLE — INDIA LEVEL,YES,YES,Only India total in PDF. State-wise grievous injured NOT published,REVIEW_NEEDED
C-07,Minor Injured,C-AccidentSeverity,PARTIALLY VERIFIED (PDF only),AVAILABLE — INDIA LEVEL,PARTIALLY VERIFIED (PDF only),AVAILABLE — INDIA LEVEL,YES,YES,Only India total in PDF. State-wise minor injured NOT published,REVIEW_NEEDED
C-08,Fatalities per Accident (severity index),C-AccidentSeverity,—,DERIVABLE,—,DERIVABLE,YES,YES,Formula = Persons Killed / Total Accidents. Safe to derive when both underlying counts are verified,REVIEW_NEEDED
C-09,Fatalities per 100 Accidents,C-AccidentSeverity,—,DERIVABLE,—,DERIVABLE,YES,YES,Formula = (Persons Killed / Total Accidents) × 100,REVIEW_NEEDED
C-10,Case Fatality Rate,C-AccidentSeverity,—,DERIVABLE,—,DERIVABLE,NO_SOURCE_MATCH,NO,Formula = Persons Killed / (Persons Killed + Persons Injured) × 100. Reasonable proxy for severity but excludes un-injured accidents,REVIEW_NEEDED
D-01,Year,D-Temporal,VERIFIED,AVAILABLE — INDIA LEVEL  +  STATE LEVEL  +  CITY LEVEL,VERIFIED,AVAILABLE — INDIA LEVEL  +  STATE LEVEL  +  CITY LEVEL,YES,YES,—,READY_FOR_ANALYSIS
D-02,Month,D-Temporal,PARTIALLY VERIFIED,AVAILABLE — STATE LEVEL  (PDF only),PARTIALLY VERIFIED,AVAILABLE — STATE LEVEL  (PDF only),YES,NO/PDF,NCRB publishes state×month as PDF table 1A.5 only — not machine-readable. MoRTH does NOT publish month-wise,REQUIRES_PDF_EXTRACTION
D-03,Day of week,D-Temporal,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,Neither MoRTH nor NCRB publishes day-of-week accident counts at any granularity. Bengaluru Traffic Police press notes sometimes mention but not in CSV,REVIEW_NEEDED
D-04,Hour of day,D-Temporal,VERIFIED (MoRTH chart) / PARTIALLY VERIFIED (NCRB PDF table),AVAILABLE — INDIA LEVEL  +  STATE LEVEL,PARTIALLY VERIFIED (PDF chart not yet extracted),"AVAILABLE — INDIA LEVEL + STATE LEVEL (PDF only, not yet extracted)",YES,NO/PDF,Bucketed only; not exact hour,REQUIRES_PDF_EXTRACTION
D-05,Day/Night,D-Temporal,—,DERIVABLE,—,DERIVABLE,YES,NO/PDF,Aggregate the 8 NCRB time-buckets into Day (06-18) vs Night (18-06). Approximation since exact hour not published,REVIEW_NEEDED
D-06,Weekday vs Weekend,D-Temporal,NOT VERIFIED,NOT AVAILABLE,NOT VERIFIED,NOT AVAILABLE,NO_SOURCE_MATCH,NO,Day-of-week not published anywhere — see D-03. Cannot be safely derived,REVIEW_NEEDED
D-07,Holiday / Festival period,D-Temporal,—,DERIVABLE,—,DERIVABLE,NO_SOURCE_MATCH,NO,Tag NCRB month-wise counts with national/festival calendar. NOT a meteorological season — see Group E,REVIEW_NEEDED
E-01,Official meteorological season (Winter/Summer/Monsoon/Post-monsoon),E-Seasonal,—,DERIVABLE,—,DERIVABLE,NO,NO,IMD defines: Winter = Dec-Feb; Pre-monsoon/Summer = Mar-May; Monsoon = Jun-Sep; Post-monsoon = Oct-Nov. Derive by mapping NCRB month-wise counts. Do NOT confuse with calendar quarters,REVIEW_NEEDED
E-02,Monsoon vs Non-Monsoon,E-Seasonal,—,DERIVABLE,—,DERIVABLE,YES,NO/PDF,Monsoon = Jun-Sep per IMD. Aggregate NCRB month-wise accordingly,REVIEW_NEEDED
E-03,Regional season (e.g. Tamil Nadu's Northeast Monsoon),E-Seasonal,—,DERIVABLE  (with manual mapping),—,DERIVABLE  (with manual mapping),YES,NO/PDF,Each Indian state has its own seasonal calendar (e.g. TN's NE monsoon = Oct-Dec; Kerala's 2 monsoons; North-East's pre-monsoon). Must define per-state,REVIEW_NEEDED
F-01,Weather condition at accident (rain/fog/clear),F-WeatherEnvironment,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NOT VERIFIED,NOT FOUND AFTER DEEP RESEARCH,NO_SOURCE_MATCH,NO,Neither MoRTH nor NCRB publishes weather-condition-at-accident counts. Must be INTEGRATED from IMD via spatial join — see F-02 to F-09,REVIEW_NEEDED
F-02,Daily Rainfall (mm),F-WeatherEnvironment,VERIFIED,AVAILABLE — INDIA LEVEL  (NetCDF download),"PARTIALLY VERIFIED (URL only, file NOT downloaded)","AVAILABLE — INDIA LEVEL (URL verified, file NOT acquired)",NO,NO,Requires NetCDF processing. Free download at https://www.imdpune.gov.in/Clim_Pred_LRF_New/Grided_Data_Download.html (server sometimes slow),NOT_ACQUIRED
F-03,District-wise Daily Rainfall,F-WeatherEnvironment,PARTIALLY VERIFIED,"AVAILABLE — DISTRICT LEVEL  (HTML only, current period)",PARTIALLY VERIFIED,"AVAILABLE — DISTRICT LEVEL  (HTML only, current period)",NO,NO,Published as HTML tables at mausam.imd.gov.in. No historical district rainfall archive is freely downloadable; bulk historical access requires IMD DSP paid portal,NOT_ACQUIRED
F-04,Hourly Rainfall (station),F-WeatherEnvironment,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,PARTIALLY VERIFIED,AVAILABLE — SELECTED LOCATIONS,NO,NO,AWS network coverage uneven. Historical archive not bulk-downloadable,NOT_ACQUIRED
